"id","game_id","timestamp","player_count","on_sale","discount_percent","original_price","final_price","estimated_owners","id","name"
"1","730","1743805153","940085","false","0","","","100,000,000 .. 200,000,000","730","Counter-Strike 2"
"2","570","1743805154","343403","false","0","","","200,000,000 .. 500,000,000","570","Dota 2"
"3","440","1743805154","43786","false","0","","","20,000,000 .. 50,000,000","440","Team Fortress 2"
"4","578080","1743805155","148829","false","0","","","50,000,000 .. 100,000,000","578080","PUBG"
"5","1172470","1743805156","67091","false","0","","","50,000,000 .. 100,000,000","1172470","Apex Legends"
"6","2767030","1743805157","155707","false","0","","","0 .. 20,000","2767030","Marvel Rivals"
"7","730","1744482875","1354776","false","0","","","100,000,000 .. 200,000,000","730","Counter-Strike 2"
"8","570","1744482875","567990","false","0","","","200,000,000 .. 500,000,000","570","Dota 2"
"9","440","1744482876","51263","false","0","","","20,000,000 .. 50,000,000","440","Team Fortress 2"
"10","578080","1744482876","333230","false","0","","","50,000,000 .. 100,000,000","578080","PUBG"
"11","1172470","1744482877","113944","false","0","","","50,000,000 .. 100,000,000","1172470","Apex Legends"
"12","2767030","1744482878","230995","false","0","","","0 .. 20,000","2767030","Marvel Rivals"
"13","730","1744483136","1354776","false","0","","","100,000,000 .. 200,000,000","730","Counter-Strike 2"
"14","570","1744483136","567990","false","0","","","200,000,000 .. 500,000,000","570","Dota 2"
"15","440","1744483137","51263","false","0","","","20,000,000 .. 50,000,000","440","Team Fortress 2"
"16","578080","1744483137","333230","false","0","","","50,000,000 .. 100,000,000","578080","PUBG"
"17","1172470","1744483137","113944","false","0","","","50,000,000 .. 100,000,000","1172470","Apex Legends"
"18","2767030","1744483138","230995","false","0","","","0 .. 20,000","2767030","Marvel Rivals"
"19","3240220","1744483138","51986","false","0","2999","2999","0 .. 20,000","3240220","Grand Theft Auto V"
"20","250900","1744483139","25385","false","0","1499","1499","10,000,000 .. 20,000,000","250900","Binding of Isaac: Rebirth"
"21","3164500","1744483140","317537","false","0","1999","1999","0 .. 20,000","3164500","Schedule I"
"22","1174180","1744483141","50700","true","75","5999","1499","10,000,000 .. 20,000,000","1174180","Red Dead Redemption 2"
"23","730","1744483375","1354776","false","0","","","100,000,000 .. 200,000,000","730","Counter-Strike 2"
"24","570","1744483375","567990","false","0","","","200,000,000 .. 500,000,000","570","Dota 2"
"25","440","1744483375","51263","false","0","","","20,000,000 .. 50,000,000","440","Team Fortress 2"
"26","578080","1744483376","333230","false","0","","","50,000,000 .. 100,000,000","578080","PUBG"
"27","1172470","1744483376","113944","false","0","","","50,000,000 .. 100,000,000","1172470","Apex Legends"
"28","2767030","1744483376","230995","false","0","","","0 .. 20,000","2767030","Marvel Rivals"
"29","3240220","1744483377","51986","false","0","2999","2999","0 .. 20,000","3240220","Grand Theft Auto V"
"30","250900","1744483377","25385","false","0","1499","1499","10,000,000 .. 20,000,000","250900","Binding of Isaac: Rebirth"
"31","3164500","1744483377","317537","false","0","1999","1999","0 .. 20,000","3164500","Schedule I"
"32","1174180","1744483377","50700","true","75","5999","1499","10,000,000 .. 20,000,000","1174180","Red Dead Redemption 2"
"33","2495100","1744483378","2021","true","20","3999","3199","0 .. 20,000","2495100","Hello Kitty Island Adventure"
"34","1245620","1744483378","47082","false","0","5999","5999","20,000,000 .. 50,000,000","1245620","Elden Ring"
"35","1151340","1744483379","11928","false","0","3999","3999","5,000,000 .. 10,000,000","1151340","Fallout 76"
"36","2933620","1744483380","0","false","0","6999","6999","0 .. 20,000","2933620","Call of Duty: Black Ops 6"
"37","1144200","1744483380","7759","true","50","4999","2499","2,000,000 .. 5,000,000","1144200","Ready or Not"
"38","1449850","1744483381","19488","false","0","","","0 .. 20,000","1449850","Yu-Gi-Oh! Master Duel"
"39","281990","1744483382","18165","false","0","3999","3999","2,000,000 .. 5,000,000","281990","Stellaris"
"40","2379780","1744483382","21835","true","10","1499","1349","2,000,000 .. 5,000,000","2379780","Balatro"
"41","39210","1744483383","26668","false","0","1999","1999","2,000,000 .. 5,000,000","39210","FINAL FANTASY XIV Online"
"42","730","1744484674","1354719","false","0","","","100,000,000 .. 200,000,000","730","Counter-Strike 2"
"43","570","1744484675","559911","false","0","","","200,000,000 .. 500,000,000","570","Dota 2"
"44","440","1744484675","50965","false","0","","","20,000,000 .. 50,000,000","440","Team Fortress 2"
"45","578080","1744484676","303459","false","0","","","50,000,000 .. 100,000,000","578080","PUBG"
"46","1172470","1744484676","109578","false","0","","","50,000,000 .. 100,000,000","1172470","Apex Legends"
"47","2767030","1744484677","237590","false","0","","","0 .. 20,000","2767030","Marvel Rivals"
"48","3240220","1744484677","49888","false","0","2999","2999","0 .. 20,000","3240220","Grand Theft Auto V"
"49","250900","1744484677","24980","false","0","1499","1499","10,000,000 .. 20,000,000","250900","Binding of Isaac: Rebirth"
"50","3164500","1744484678","327809","false","0","1999","1999","0 .. 20,000","3164500","Schedule I"
"51","1174180","1744484678","49823","true","75","5999","1499","10,000,000 .. 20,000,000","1174180","Red Dead Redemption 2"
"52","2495100","1744484679","2017","true","20","3999","3199","0 .. 20,000","2495100","Hello Kitty Island Adventure"
"53","1245620","1744484679","46821","false","0","5999","5999","20,000,000 .. 50,000,000","1245620","Elden Ring"
"54","1151340","1744484680","12516","false","0","3999","3999","5,000,000 .. 10,000,000","1151340","Fallout 76"
"55","2933620","1744484680","0","false","0","6999","6999","0 .. 20,000","2933620","Call of Duty: Black Ops 6"
"56","1144200","1744484680","7965","true","50","4999","2499","2,000,000 .. 5,000,000","1144200","Ready or Not"
"57","1449850","1744484681","18564","false","0","","","0 .. 20,000","1449850","Yu-Gi-Oh! Master Duel"
"58","281990","1744484681","18192","false","0","3999","3999","2,000,000 .. 5,000,000","281990","Stellaris"
"59","2379780","1744484682","21795","true","10","1499","1349","2,000,000 .. 5,000,000","2379780","Balatro"
"60","39210","1744484682","27328","false","0","1999","1999","2,000,000 .. 5,000,000","39210","FINAL FANTASY XIV Online"
"61","730","1744655434","1201557","false","0","","","100,000,000 .. 200,000,000","730","Counter-Strike 2"
